taxonId;taxaGroup;scientificName;vernacularName;family;taxonLabel;ndffIdentity;threatStatus;occurenceStatus;taxaSubgroup;isAcceptedName;scientificNameAuthorship;updated
8343;V;Pulmonaria saccharata;Italiaans longkruid;Boraginaceae;8343;http://ndff-ecogrid.nl/taxonomy/taxa/pulmonariasaccharata;;zzz;S;0;Mill.;10/10/2025 12:39:46
8344;V;Quercus frainetto;;Fagaceae;8344;http://ndff-ecogrid.nl/taxonomy/taxa/quercusfrainetto;;zz;S;0;Ten.;08/22/2022 12:21:30
8345;V;Reseda odorata;Welriekende reseda;Resedaceae;8345;http://ndff-ecogrid.nl/taxonomy/taxa/resedaodorata;;zz;S;0;L.;01/24/2025 10:12:26
8346;V;Reseda phyteuma;Kleine reseda;Resedaceae;8346;http://ndff-ecogrid.nl/taxonomy/taxa/resedaphyteuma;;zzz;S;0;L.;08/22/2022 12:21:30
8347;V;Rhus glabra;Gladde azijnboom;Anacardiaceae;8347;http://ndff-ecogrid.nl/taxonomy/taxa/rhusglabra;;zzz;S;0;L.;01/24/2025 10:12:26
8348;V;Taraxacum exsertum;;Asteraceae;8348;http://ndff-ecogrid.nl/taxonomy/taxa/taraxacumexsertum;;zz;S;0;Hagend., Soest & Zevenb.;05/07/2025 00:28:19
8349;V;Rubus cockburnianus;;Rosaceae;8349;http://ndff-ecogrid.nl/taxonomy/taxa/rubuscockburnianus;;zzz;S;0;Hemsl.;08/22/2022 12:21:30
8351;V;Rubus parviflorus;Witte esdoornbraam;Rosaceae;8351;http://ndff-ecogrid.nl/taxonomy/taxa/rubusparviflorus;;zzz;S;0;Nutt.;10/10/2025 12:39:46
8352;V;Rubus thibetanus;;Rosaceae;8352;http://ndff-ecogrid.nl/taxonomy/taxa/rubusthibetanus;;zzz;S;0;Franch.;08/22/2022 12:21:30
8353;V;Rubus tricolor;Chinese braambes;Rosaceae;8353;http://ndff-ecogrid.nl/taxonomy/taxa/rubustricolor;;zzz;S;0;Focke ex Prain;01/24/2025 10:12:26
8354;V;Rubus wittigianus;Grote pluimbraam;Rosaceae;8354;http://ndff-ecogrid.nl/taxonomy/taxa/rubuswittigianus;;;S;0;H.E. Weber;08/22/2022 12:21:30
8355;V;Salix babylonica 'Tortuosa';Krulwilg;Salicaceae;8355;http://ndff-ecogrid.nl/taxonomy/taxa/salixbabylonicavartortuosa;;z;S;-1;;08/22/2022 12:21:30
8356;V;Salix myrsinifolia;Zwarte wilg;Salicaceae;8356;http://ndff-ecogrid.nl/taxonomy/taxa/salixmyrsinifolia;;zzz;S;0;Salisb.;01/24/2025 10:12:26
8357;V;Salvia dumetorum;;Lamiaceae;8357;http://ndff-ecogrid.nl/taxonomy/taxa/salviadumetorum;;;S;0;Andrz. ex Besser;08/22/2022 12:21:30
8358;V;Salvia jurisicii;;Lamiaceae;8358;http://ndff-ecogrid.nl/taxonomy/taxa/salviajurisicii;;zzz;S;0;Kosanin;08/22/2022 12:21:30
8359;V;Salvia sclarea;Scharlei;Lamiaceae;8359;http://ndff-ecogrid.nl/taxonomy/taxa/salviasclarea;;zz;S;0;L.;10/10/2025 12:39:46
8360;V;Salvia viridis;Bonte salie;Lamiaceae;8360;http://ndff-ecogrid.nl/taxonomy/taxa/salviaviridis;;zz;S;0;L.;09/15/2022 22:26:10
8361;V;Sauromatum venosum;Voodoolelie;Araceae;8361;http://ndff-ecogrid.nl/taxonomy/taxa/sauromatumvenosum;;zzz;E;0;(Dryand. ex Aiton) Kunth;01/24/2025 10:12:26
8362;V;Scabiosa ochroleuca;;Caprifoliaceae;8362;http://ndff-ecogrid.nl/taxonomy/taxa/scabiosaochroleuca;;zzz;S;0;L.;08/22/2022 12:21:30
8363;V;Scopolia carniolica;Klokbilzekruid;Solanaceae;8363;http://ndff-ecogrid.nl/taxonomy/taxa/scopoliacarniolica;;zzz;S;0;Jacq.;10/10/2025 12:39:46
8364;V;Sedum aizoon;;Crassulaceae;8364;http://ndff-ecogrid.nl/taxonomy/taxa/sedumaizoon;;zzz;S;0;L.;08/22/2022 12:21:30
8365;V;Sedum lydium;;Crassulaceae;8365;http://ndff-ecogrid.nl/taxonomy/taxa/sedumlydium;;zzz;S;0;Boiss.;08/22/2022 12:21:30
8366;V;Sedum ochroleucum;;Crassulaceae;8366;http://ndff-ecogrid.nl/taxonomy/taxa/sedumochroleucum;;zzz;S;0;Chaix;08/22/2022 12:21:30
8367;V;Hylotelephium sieboldii;;Crassulaceae;8367;http://ndff-ecogrid.nl/taxonomy/taxa/hylotelephiumsieboldii;;zzz;S;0;H. Ohba;08/22/2022 12:21:30
8368;V;Sedum spathulifolium;;Crassulaceae;8368;http://ndff-ecogrid.nl/taxonomy/taxa/sedumspathulifolium;;zzz;S;0;Hook.;08/22/2022 12:21:30
8369;V;Sempervivum arachnoideum;Spinnenwebhuislook;Crassulaceae;8369;http://ndff-ecogrid.nl/taxonomy/taxa/sempervivumarachnoideum;;zz;S;0;L.;08/22/2022 12:21:30
8370;V;Sequoia sempervirens;Kustsequoia;Cupressaceae;8370;http://ndff-ecogrid.nl/taxonomy/taxa/sequoiasempervirens;;zzz;N;0;(D. Don) Endl.;01/24/2025 10:12:26
8371;V;Sequoiadendron giganteum;Mammoetboom;Cupressaceae;8371;http://ndff-ecogrid.nl/taxonomy/taxa/sequoiadendrongiganteum;;zz;N;0;(Lindl.) J. Buchholz;10/10/2025 12:39:46
8372;V;Sida cordifolia;;Malvaceae;8372;http://ndff-ecogrid.nl/taxonomy/taxa/sidacordifolia;;zzz;S;0;L.;08/22/2022 12:21:30
8373;V;Sideritis romana;;Lamiaceae;8373;http://ndff-ecogrid.nl/taxonomy/taxa/sideritisromana;;zzz;S;0;L.;08/22/2022 12:21:30
8374;V;Sigesbeckia orientalis;;Asteraceae;8374;http://ndff-ecogrid.nl/taxonomy/taxa/sigesbeckiaorientalis;;zzz;S;-1;L.;08/22/2022 12:21:30
